"","state","bill","issue","status","index","seen","status_occurrence","state_code","region","division"
"67","Colorado","HB 23-1098","Restricting Student & Educator Rights","Defeated",67,1,"status","CO","West","Mountain"
"68","Colorado",NA,NA,"Postponed indefinitely by committee, 02/13/2023",67,1,"status_details_1","CO","West","Mountain"
"69","Connecticut","HB 6213","Restricting Student & Educator Rights","Advancing",69,1,"status","CT","Northeast","New England"
"70","Connecticut",NA,NA,"Referred to committee, 01/19/2023",69,1,"status_details_1","CT","Northeast","New England"
"71","Connecticut","SB 468","Restricting Student & Educator Rights","Defeated",71,1,"status","CT","Northeast","New England"
"72","Connecticut",NA,NA,"Dead, 06/07/2023",71,1,"status_details_1","CT","Northeast","New England"
"73","Delaware",NA,NA,NA,NA,NA,NA,"DE","South","South Atlantic"
"74","District of Columbia",NA,NA,NA,NA,NA,NA,"DC","South","South Atlantic"
"75","Florida","HB 1223","Restricting Student & Educator Rights","Advancing",77,1,"status","FL","South","South Atlantic"
"76","Florida",NA,NA,"Died in committee, 05/05/2023",77,1,"status_details_1","FL","South","South Atlantic"
"77","Florida","SB 1320","Restricting Student & Educator Rights","Defeated",79,1,"status","FL","South","South Atlantic"
"78","Florida",NA,NA,"Dead, 05/05/2023",79,1,"status_details_1","FL","South","South Atlantic"
"79","Florida","HB 999","Restricting Student & Educator Rights","Defeated",81,1,"status","FL","South","South Atlantic"
"80","Florida",NA,"Free Speech & Expression Bans","Dead, 05/05/2023",81,1,"status_details_1","FL","South","South Atlantic"
"81","Florida","SB 266","Restricting Student & Educator Rights","Passed into Law",83,1,"status","FL","South","South Atlantic"
"82","Florida",NA,"Free Speech & Expression Bans","Governor signed, 05/15/2023",83,1,"status_details_1","FL","South","South Atlantic"
"83","Florida","SB 254","Healthcare Restrictions","Passed into Law",85,1,"status","FL","South","South Atlantic"
"84","Florida",NA,"Other Anti-LGBTQ Bills","Governor signed, 05/17/2023",85,1,"status_details_1","FL","South","South Atlantic"
"85","Florida",NA,NA,"View case info",85,1,"status_details_2","FL","South","South Atlantic"
"86","Florida",NA,NA," IN COURT",85,1,"status_details_3","FL","South","South Atlantic"
"87","Florida","HB 1421","Healthcare Restrictions","Defeated",89,1,"status","FL","South","South Atlantic"
"88","Florida",NA,"Weakening Civil Rights Laws","Dead, 05/05/2023",89,1,"status_details_1","FL","South","South Atlantic"
"89","Florida",NA,"Barriers To Accurate IDs",NA,89,1,"status_details_2","FL","South","South Atlantic"
"90","Florida","SB 1674","Public Accommodation Bans","Defeated",92,1,"status","FL","South","South Atlantic"
"91","Florida",NA,"Restricting Student & Educator Rights","Dead, 05/05/2023",92,1,"status_details_1","FL","South","South Atlantic"
"92","Florida",NA,"Other Anti-LGBTQ Bills",NA,92,1,"status_details_2","FL","South","South Atlantic"
"93","Florida","HB 1521","Public Accommodation Bans","Passed into Law",95,1,"status","FL","South","South Atlantic"
"94","Florida",NA,"Other Anti-LGBTQ Bills","Governor signed, 05/17/2023",95,1,"status_details_1","FL","South","South Atlantic"
"95","Florida",NA,NA,"Died in committee, 05/05/2023",73,1,"status_details_1","FL","South","South Atlantic"
"96","Florida","HB 1069","Restricting Student & Educator Rights","Passed into Law",75,1,"status","FL","South","South Atlantic"
"97","Florida",NA,NA,"Governor signed, 05/17/2023",75,1,"status_details_1","FL","South","South Atlantic"
"98","Florida","HB 991","Other Anti-LGBTQ Bills","Advancing",73,1,"status","FL","South","South Atlantic"
"99","Georgia","SB 140","Healthcare Restrictions","Passed into Law",97,1,"status","GA","South","South Atlantic"
"100","Georgia",NA,NA,"Governor signed, 03/23/2023",97,1,"status_details_1","GA","South","South Atlantic"
"101","Georgia",NA,NA,"View case info",97,1,"status_details_2","GA","South","South Atlantic"
"102","Georgia",NA,NA,"First read and referred to committee, 02/15/2023",103,1,"status_details_1","GA","South","South Atlantic"
"103","Georgia","SB 141","Forced Outing In Schools","Advancing",105,1,"status","GA","South","South Atlantic"
"104","Georgia",NA,"Healthcare Age Restrictions","First read and referred to committee, 02/13/2023",105,1,"status_details_1","GA","South","South Atlantic"
"105","Georgia","SB 88","Curriculum Censorship","Advancing",107,1,"status","GA","South","South Atlantic"
"106","Georgia",NA,"Other School Restrictions","Senate read and referred, 02/06/2023",107,1,"status_details_1","GA","South","South Atlantic"
"107","Georgia",NA,NA," IN COURT",97,1,"status_details_3","GA","South","South Atlantic"
"108","Georgia","HB 653","Forced Outing In Schools","Advancing",101,1,"status","GA","South","South Atlantic"
"109","Georgia",NA,"Healthcare Age Restrictions","House second read, 03/06/2023",101,1,"status_details_1","GA","South","South Atlantic"
"110","Georgia","SB 180","Religious Exemptions","Advancing",103,1,"status","GA","South","South Atlantic"
"111","Hawaii","HB 891","Healthcare Age Restrictions","Introduced",109,1,"status","HI","West","Pacific"
"112","Hawaii",NA,NA,"Carried over, 01/17/2024",109,1,"status_details_1","HI","West","Pacific"
"113","Hawaii","SB 1428","Curriculum Censorship","Introduced",111,1,"status","HI","West","Pacific"
"114","Hawaii",NA,"Forced Outing In Schools","Carried over, 01/17/2024",111,1,"status_details_1","HI","West","Pacific"
"115","Hawaii","HB 508","School Sports Bans","Introduced",117,1,"status","HI","West","Pacific"
"116","Hawaii",NA,NA,"Carried over, 01/17/2024",117,1,"status_details_1","HI","West","Pacific"
"117","Hawaii",NA,NA,"Carried over, 01/17/2024",115,1,"status_details_1","HI","West","Pacific"
"118","Hawaii","SB 1429","School Sports Bans","Introduced",113,1,"status","HI","West","Pacific"
"119","Hawaii",NA,NA,"Carried over, 01/17/2024",113,1,"status_details_1","HI","West","Pacific"
"120","Hawaii","HB 509","Curriculum Censorship","Introduced",115,1,"status","HI","West","Pacific"
"121","Idaho","S 1003","Other Anti-LGBTQ Bills","Defeated",119,1,"status","ID","West","Mountain"
"122","Idaho",NA,NA,"Dead, 04/06/2023",119,1,"status_details_1","ID","West","Mountain"
"123","Idaho","SB 1016","Public Accommodation Bans","Passed into Law",121,1,"status","ID","West","Mountain"
"124","Idaho",NA,NA,"Governor signed, 03/27/2023",121,1,"status_details_1","ID","West","Mountain"
"125","Idaho","HB 71","Healthcare Restrictions","Passed into Law",123,1,"status","ID","West","Mountain"
"126","Idaho",NA,NA,"Governor signed, 04/04/2023",123,1,"status_details_1","ID","West","Mountain"
"127","Idaho",NA,NA,"View case info",123,1,"status_details_2","ID","West","Mountain"
"128","Idaho",NA,NA," IN COURT",123,1,"status_details_3","ID","West","Mountain"
"129","Idaho","SB 1100","Restricting Student & Educator Rights","Passed into Law",127,1,"status","ID","West","Mountain"
"130","Idaho",NA,NA,"Dead, 04/06/2023",131,1,"status_details_1","ID","West","Mountain"
"131","Idaho","SB 1071","Restricting Student & Educator Rights","Defeated",133,1,"status","ID","West","Mountain"
"132","Idaho",NA,NA,"Dead, 04/06/2023",133,1,"status_details_1","ID","West","Mountain"
"133","Idaho","HB 265","Free Speech & Expression Bans","Defeated",135,1,"status","ID","West","Mountain"
"134","Idaho",NA,NA,"Dead, 04/06/2023",135,1,"status_details_1","ID","West","Mountain"
"135","Idaho","HB 308","Weakening Civil Rights Laws","Advancing",137,1,"status","ID","West","Mountain"
"136","Idaho",NA,NA,"Dead, 04/06/2023",137,1,"status_details_1","ID","West","Mountain"
"137","Idaho",NA,NA," IN COURT",127,1,"status_details_3","ID","West","Mountain"
"138","Idaho","HB 63","Weakening Civil Rights Laws","Defeated",131,1,"status","ID","West","Mountain"
"139","Idaho",NA,NA,"Governor signed, 03/23/2023",127,1,"status_details_1","ID","West","Mountain"
"140","Idaho",NA,NA,"View case info",127,1,"status_details_2","ID","West","Mountain"
"141","Illinois",NA,NA,NA,NA,NA,NA,"IL","Midwest","East North Central"
"142","Indiana","HB 1118","Healthcare Restrictions","Defeated",139,1,"status","IN","Midwest","East North Central"
"143","Indiana",NA,NA,"Dead, 04/28/2023",139,1,"status_details_1","IN","Midwest","East North Central"
"144","Indiana","HB 1232","Healthcare Restrictions","Defeated",145,1,"status","IN","Midwest","East North Central"
"145","Indiana",NA,NA,"Dead, 04/28/2023",145,1,"status_details_1","IN","Midwest","East North Central"
"146","Indiana","SB 354","Restricting Student & Educator Rights","Defeated",147,1,"status","IN","Midwest","East North Central"
"147","Indiana",NA,NA,"Dead, 04/28/2023",147,1,"status_details_1","IN","Midwest","East North Central"
"148","Indiana","SB 351","Barriers To Accurate IDs","Defeated",149,1,"status","IN","Midwest","East North Central"
"149","Indiana",NA,NA,"Dead, 04/28/2023",149,1,"status_details_1","IN","Midwest","East North Central"
"150","Indiana","HB 1525","Healthcare Restrictions","Defeated",151,1,"status","IN","Midwest","East North Central"
"151","Indiana",NA,NA,"Dead, 04/28/2023",151,1,"status_details_1","IN","Midwest","East North Central"
"152","Indiana","SB 480","Healthcare Restrictions","Passed into Law",153,1,"status","IN","Midwest","East North Central"
"153","Indiana","HB 1220","Healthcare Restrictions","Defeated",141,1,"status","IN","Midwest","East North Central"
"154","Indiana",NA,NA,"Dead, 04/28/2023",141,1,"status_details_1","IN","Midwest","East North Central"
"155","Indiana","HB 1231","Healthcare Restrictions","Defeated",143,1,"status","IN","Midwest","East North Central"
"156","Indiana",NA,NA,"Dead, 04/28/2023",143,1,"status_details_1","IN","Midwest","East North Central"
"157","Indiana",NA,NA,"Dead, 04/28/2023",157,1,"status_details_1","IN","Midwest","East North Central"
"158","Indiana","HB 1569","Healthcare Restrictions","Passed into Law",159,1,"status","IN","Midwest","East North Central"
"159","Indiana",NA,NA,"Governor signed, 04/20/2023",159,1,"status_details_1","IN","Midwest","East North Central"
"160","Indiana","HB 1589","Healthcare Restrictions","Defeated",161,1,"status","IN","Midwest","East North Central"
"161","Indiana",NA,NA,"Dead, 04/28/2023",161,1,"status_details_1","IN","Midwest","East North Central"
"162","Indiana","HB 1520","Public Accommodation Bans","Defeated",163,1,"status","IN","Midwest","East North Central"
"163","Indiana",NA,"Restricting Student & Educator Rights","Dead, 04/28/2023",163,1,"status_details_1","IN","Midwest","East North Central"
"164","Indiana","SB 386","Restricting Student & Educator Rights","Defeated",165,1,"status","IN","Midwest","East North Central"
"165","Indiana",NA,NA,"Dead, 04/28/2023",165,1,"status_details_1","IN","Midwest","East North Central"
"166","Indiana","SB 413","Restricting Student & Educator Rights","Defeated",167,1,"status","IN","Midwest","East North Central"
"167","Indiana",NA,NA,"Dead, 04/28/2023",167,1,"status_details_1","IN","Midwest","East North Central"
"168","Indiana","HB 1608","Restricting Student & Educator Rights","Passed into Law",169,1,"status","IN","Midwest","East North Central"
"169","Indiana",NA,NA,"Governor signed, 05/04/2023",169,1,"status_details_1","IN","Midwest","East North Central"
"170","Indiana","HB 1346","Restricting Student & Educator Rights","Defeated",171,1,"status","IN","Midwest","East North Central"
"171","Indiana",NA,NA,"Dead, 04/28/2023",171,1,"status_details_1","IN","Midwest","East North Central"
"172","Indiana","HB 1524","Barriers To Accurate IDs","Defeated",173,1,"status","IN","Midwest","East North Central"
"173","Indiana",NA,NA,"Dead, 04/28/2023",173,1,"status_details_1","IN","Midwest","East North Central"
"174","Indiana","SB 487","Other Anti-LGBTQ Bills","Defeated",175,1,"status","IN","Midwest","East North Central"
"175","Indiana",NA,NA,"Dead, 04/28/2023",175,1,"status_details_1","IN","Midwest","East North Central"
"176","Indiana",NA,NA,"Governor signed, 04/05/2023",153,1,"status_details_1","IN","Midwest","East North Central"
"177","Indiana",NA,NA,"View case info",153,1,"status_details_2","IN","Midwest","East North Central"
"178","Indiana",NA,NA," IN COURT",153,1,"status_details_3","IN","Midwest","East North Central"
"179","Indiana","HB 1407","Healthcare Restrictions","Defeated",157,1,"status","IN","Midwest","East North Central"
"180","Iowa","SSB 1145","Restricting Student & Educator Rights","Advancing",177,1,"status","IA","Midwest","West North Central"
"181","Iowa",NA,NA,"Bill renumbered SF 496, 03/02/2023",177,1,"status_details_1","IA","Midwest","West North Central"
"182","Iowa","SF 335","Restricting Student & Educator Rights","Defeated",179,1,"status","IA","Midwest","West North Central"
"183","Iowa",NA,NA,"Renumbered as SF 482, 03/02/2023",179,1,"status_details_1","IA","Midwest","West North Central"
"184","Iowa","HSB 208","Restricting Student & Educator Rights","Advancing",185,1,"status","IA","Midwest","West North Central"
"185","Iowa",NA,NA,"Renumbered HF 622, 03/03/2023",185,1,"status_details_1","IA","Midwest","West North Central"
"186","Iowa","HF 622","Restricting Student & Educator Rights","Defeated",187,1,"status","IA","Midwest","West North Central"
"187","Iowa",NA,NA,"Withdrawn, 03/16/2023",187,1,"status_details_1","IA","Midwest","West North Central"
"188","Iowa","SF 496","Restricting Student & Educator Rights","Passed into Law",189,1,"status","IA","Midwest","West North Central"
"189","Iowa",NA,NA,"Governor signed, 05/26/2023",189,1,"status_details_1","IA","Midwest","West North Central"
"190","Iowa","SF 482","Restricting Student & Educator Rights","Passed into Law",191,1,"status","IA","Midwest","West North Central"
"191","Iowa",NA,NA,"Governor signed, 03/22/2023",191,1,"status_details_1","IA","Midwest","West North Central"
"192","Iowa","HF 623","Healthcare Restrictions","Defeated",193,1,"status","IA","Midwest","West North Central"
"193","Iowa","SSB 1197","Healthcare Restrictions","Defeated",181,1,"status","IA","Midwest","West North Central"
"194","Iowa",NA,NA,"Bill renumbered SF 538, 03/02/2023",181,1,"status_details_1","IA","Midwest","West North Central"
"195","Iowa","HSB 214","Healthcare Restrictions","Defeated",183,1,"status","IA","Midwest","West North Central"
"196","Iowa",NA,NA,"Bill renumbered HF 623, 03/02/2023",183,1,"status_details_1","IA","Midwest","West North Central"
"197","Iowa",NA,NA,"Referred to committee, 01/11/2024",197,1,"status_details_1","IA","Midwest","West North Central"
"198","Iowa","HF 180","Forced Outing In Schools","Introduced",199,1,"status","IA","Midwest","West North Central"
"199","Iowa",NA,"Other School Restrictions","Carried over, 01/08/2024",199,1,"status_details_1","IA","Midwest","West North Central"
"200","Iowa","HF 616","Other Anti-LGBTQ Bills","Introduced",201,1,"status","IA","Midwest","West North Central"
"201","Iowa",NA,NA,"Carried over, 01/08/2024",201,1,"status_details_1","IA","Midwest","West North Central"
"202","Iowa","HF 348","Curriculum Censorship","Introduced",203,1,"status","IA","Midwest","West North Central"
"203","Iowa",NA,NA,"Carried over, 01/08/2024",203,1,"status_details_1","IA","Midwest","West North Central"
"204","Iowa","HF 8","Curriculum Censorship","Introduced",205,1,"status","IA","Midwest","West North Central"
"205","Iowa",NA,NA,"Carried over, 01/08/2024",205,1,"status_details_1","IA","Midwest","West North Central"
"206","Iowa","HSB 222","Curriculum Censorship","Introduced",207,1,"status","IA","Midwest","West North Central"
"207","Iowa",NA,"Forced Outing In Schools","Carried over, 01/08/2024",207,1,"status_details_1","IA","Midwest","West North Central"
"208","Iowa",NA,"Other School Restrictions",NA,207,1,"status_details_2","IA","Midwest","West North Central"
"209","Iowa","HF 190","Other Civil Rights Restrictions","Introduced",210,1,"status","IA","Midwest","West North Central"
"210","Iowa",NA,NA,"Carried over, 01/08/2024",210,1,"status_details_1","IA","Midwest","West North Central"
"211","Iowa","HF 9","Forced Outing In Schools","Introduced",212,1,"status","IA","Midwest","West North Central"
"212","Iowa",NA,NA,"Carried over, 01/08/2024",212,1,"status_details_1","IA","Midwest","West North Central"
"213","Iowa","HF 482","School Facilities Bans","Introduced",214,1,"status","IA","Midwest","West North Central"
"214","Iowa",NA,NA,"Carried over, 01/08/2024",214,1,"status_details_1","IA","Midwest","West North Central"
"215","Iowa","HF 508","Other Anti-LGBTQ Bills","Introduced",216,1,"status","IA","Midwest","West North Central"
"216","Iowa",NA,"Religious Exemptions","Carried over, 01/08/2024",216,1,"status_details_1","IA","Midwest","West North Central"
"217","Iowa","SF 212","Religious Exemptions","Introduced",218,1,"status","IA","Midwest","West North Central"
"218","Iowa",NA,NA,"Carried over, 01/08/2024",218,1,"status_details_1","IA","Midwest","West North Central"
"219","Iowa","SF 348","Drag Bans","Introduced",220,1,"status","IA","Midwest","West North Central"
"220","Iowa",NA,NA,"Carried over, 01/08/2024",220,1,"status_details_1","IA","Midwest","West North Central"
"221","Iowa","HF 325","Public Accommodation Bans","Introduced",222,1,"status","IA","Midwest","West North Central"
"222","Iowa",NA,"Other Civil Rights Restrictions","Carried over, 01/08/2024",222,1,"status_details_1","IA","Midwest","West North Central"
"223","Iowa","HF 290","Barriers To Accurate IDs","Introduced",224,1,"status","IA","Midwest","West North Central"
"224","Iowa",NA,NA,"Carried over, 01/08/2024",224,1,"status_details_1","IA","Midwest","West North Central"
"225","Iowa","HF 229","Religious Exemptions","Introduced",226,1,"status","IA","Midwest","West North Central"
"226","Iowa",NA,NA,"Carried over, 01/08/2024",226,1,"status_details_1","IA","Midwest","West North Central"
"227","Iowa","SF 159","Forced Outing In Schools","Introduced",228,1,"status","IA","Midwest","West North Central"
"228","Iowa",NA,NA,"Carried over, 01/08/2024",228,1,"status_details_1","IA","Midwest","West North Central"
"229","Iowa","SF 129","Other Anti-LGBTQ Bills","Introduced",230,1,"status","IA","Midwest","West North Central"
"230","Iowa",NA,"Forced Outing In Schools","Carried over, 01/08/2024",230,1,"status_details_1","IA","Midwest","West North Central"
"231","Iowa",NA,"Healthcare Age Restrictions",NA,230,1,"status_details_2","IA","Midwest","West North Central"
"232","Iowa","SF 83","Curriculum Censorship","Introduced",233,1,"status","IA","Midwest","West North Central"
"233","Iowa",NA,NA,"SF 538 substituted and bill withdrawn, 03/08/2023",193,1,"status_details_1","IA","Midwest","West North Central"
"234","Iowa","SF 538","Healthcare Restrictions","Passed into Law",195,1,"status","IA","Midwest","West North Central"
"235","Iowa",NA,NA,"Governor signed, 03/22/2023",195,1,"status_details_1","IA","Midwest","West North Central"
"236","Iowa","SF 297","Religious Exemptions","Advancing",197,1,"status","IA","Midwest","West North Central"
"237","Iowa",NA,"Other Healthcare Barriers","Carried over, 01/08/2024",235,1,"status_details_1","IA","Midwest","West North Central"
"238","Iowa",NA,NA,"Carried over, 01/08/2024",233,1,"status_details_1","IA","Midwest","West North Central"
"239","Iowa","SF 110","Healthcare Funding Restrictions","Introduced",235,1,"status","IA","Midwest","West North Central"
"240","Kansas","SB 180","Other Anti-LGBTQ Bills","Passed into Law",239,1,"status","KS","Midwest","West North Central"
"241","Kansas",NA,NA,"Senate and House override of Governor veto, 04/27/2023",239,1,"status_details_1","KS","Midwest","West North Central"
"242","Kansas","SB 224","Other Anti-LGBTQ Bills","Advancing",243,1,"status","KS","Midwest","West North Central"
"243","Kansas",NA,NA,"Committee hearing 3/7/23 through, 03/08/2023",243,1,"status_details_1","KS","Midwest","West North Central"
"244","Kansas","SB 228","Other Anti-LGBTQ Bills","Passed into Law",241,1,"status","KS","Midwest","West North Central"
"245","Kansas",NA,NA,"Senate and House override of Governor veto, 04/27/2023",241,1,"status_details_1","KS","Midwest","West North Central"
"246","Kansas","SB 12","Healthcare Age Restrictions","Advancing",247,1,"status","KS","Midwest","West North Central"
"247","Kansas",NA,NA,"Committee hearing completed, 02/14/2023",247,1,"status_details_1","KS","Midwest","West North Central"
"248","Kansas","SB 233","Healthcare Age Restrictions","Advancing",245,1,"status","KS","Midwest","West North Central"
"249","Kansas",NA,NA,"Passed Senate; referred to House committee, 03/01/2023",245,1,"status_details_1","KS","Midwest","West North Central"
"250","Kansas",NA,NA,"Governor veto overridden, 04/05/2023",237,1,"status_details_1","KS","Midwest","West North Central"
"251","Kansas",NA,"Religious Exemptions","Referred to committee, 02/09/2023",251,1,"status_details_1","KS","Midwest","West North Central"
"252","Kansas","SB 201","Drag Bans","Advancing",253,1,"status","KS","Midwest","West North Central"
"253","Kansas",NA,NA,"Referred to committee, 02/08/2023",253,1,"status_details_1","KS","Midwest","West North Central"
"254","Kansas","SB 149","Drag Bans","Advancing",255,1,"status","KS","Midwest","West North Central"
"255","Kansas",NA,NA,"Referred to committee, 02/03/2023",255,1,"status_details_1","KS","Midwest","West North Central"
"256","Kansas","HB 2263","Healthcare Age Restrictions","Advancing",257,1,"status","KS","Midwest","West North Central"
"257","Kansas",NA,NA,"Passed Senate as amended; House referred to committee, 03/28/2023",257,1,"status_details_1","KS","Midwest","West North Central"
"258","Kansas","HB 2427","Public Accommodation Bans","Advancing",259,1,"status","KS","Midwest","West North Central"
"259","Kansas",NA,"School Facilities Bans","Committee recommends passage as amended, 03/27/2023",259,1,"status_details_1","KS","Midwest","West North Central"
"260","Kansas","HB 2436","Other Anti-LGBTQ Bills","Introduced",261,1,"status","KS","Midwest","West North Central"
"261","Kansas","HB 2404","Other Anti-LGBTQ Bills","Advancing",249,1,"status","KS","Midwest","West North Central"
"262","Kansas",NA,NA,"Referred to committee, 02/10/2023",249,1,"status_details_1","KS","Midwest","West North Central"
"263","Kansas","SB 207","Other School Restrictions","Advancing",251,1,"status","KS","Midwest","West North Central"
"264","Kansas","HB 2238","Restricting Student & Educator Rights","Passed into Law",237,1,"status","KS","Midwest","West North Central"
"265","Kansas",NA,NA,"Carried over, 01/08/2024",261,1,"status_details_1","KS","Midwest","West North Central"
